Word Count,Unique Words,Characters,Average Word Lengths,Unique Proportion,Hapax Legomenons,Sentence Count,Average Sentence Length,Punctuation Marks,Stop Words,Complex Verbs,Sophisticated Adjectives,Adverbs,Questions,Exclamations,Contractions,Abstract Nouns,VADER Score,Subjectivity,Polarity,Flesch Reading Score,Gunning Fog,First Person Pronouns,Direct Addresses,Date Entities,Role
58,22,157,2.706896551724138,0.3793103448275862,0.05732484076433121,2,29.0,29,2,0,0,3,1,0,0,0,0.0,0.0,0.0,92.80000000000001,11.600000000000001,0,0,8,1
70,40,249,3.557142857142857,0.5714285714285714,0.10441767068273092,8,8.75,19,21,12,0,3,0,0,1,0,0.5267,0.5357142857142857,0.2857142857142857,95.2251785714286,5.214285714285714,2,0,6,3
19,17,79,4.157894736842105,0.8947368421052632,0.189873417721519,1,19.0,3,9,1,2,0,0,0,1,0,-0.0387,0.4727272727272727,-0.03636363636363636,80.68684210526318,11.810526315789474,0,0,0,8
101,72,420,4.158415841584159,0.7128712871287128,0.14285714285714285,11,9.181818181818182,22,38,7,1,5,1,0,1,0,-0.0387,0.6444444444444445,0.4222222222222222,90.29961296129615,5.652925292529253,4,0,2,7
384,168,1941,5.0546875,0.4375,0.05512622359608449,28,13.714285714285714,53,138,42,5,20,1,0,8,0,0.8873,0.4168745275888132,-0.0019841269841269823,74.82750000000003,8.298214285714286,1,0,0,9
190,88,815,4.2894736842105265,0.4631578947368421,0.06257668711656442,12,15.833333333333334,35,62,17,6,6,0,0,1,0,0.2204,0.24267399267399264,0.15357142857142855,78.55785087719302,10.333333333333336,2,0,7,1
201,107,1112,5.532338308457711,0.5323383084577115,0.06025179856115108,17,11.823529411764707,34,60,14,7,18,3,0,4,0,-0.9457,0.5976911976911977,-0.04372294372294372,47.52068481123794,13.286625695054141,0,0,0,7
430,229,2435,5.662790697674419,0.5325581395348837,0.07022587268993839,32,13.4375,77,103,18,34,20,0,0,0,0,-0.9921,0.2740079365079364,0.08262648809523811,53.11407703488376,11.886627906976745,2,0,1,5
242,95,899,3.7148760330578514,0.3925619834710744,0.058954393770856504,10,24.2,59,71,23,6,4,0,0,3,0,0.9791,0.291468253968254,0.1361111111111111,76.69679338842977,12.489917355371901,2,0,2,0
360,136,1442,4.0055555555555555,0.37777777777777777,0.0478502080443828,19,18.94736842105263,85,109,26,7,13,2,0,4,0,0.9708,0.6931419457735247,0.20737639553429024,75.74342105263159,11.35672514619883,4,0,14,7
227,116,1135,5.0,0.5110132158590308,0.0722466960352423,11,20.636363636363637,22,60,24,9,7,0,0,0,0,0.9839,0.36882716049382713,0.14120370370370372,58.80274729675614,13.893311974369244,4,0,0,5
185,77,723,3.908108108108108,0.41621621621621624,0.05394190871369295,10,18.5,37,68,11,2,11,1,0,1,0,0.0,0.38,-0.01333333333333333,81.50722972972974,9.562162162162162,1,0,8,7
79,51,369,4.670886075949367,0.6455696202531646,0.10840108401084012,6,13.166666666666666,14,26,6,1,3,0,0,1,0,-0.6428,0.23500000000000001,-0.11000000000000001,72.46070675105486,10.329957805907174,1,0,2,8
65,45,250,3.8461538461538463,0.6923076923076923,0.132,6,10.833333333333334,12,21,3,0,6,0,0,2,0,0.0,0.0,0.0,106.03301282051284,4.948717948717949,0,0,2,1
465,103,1195,2.5698924731182795,0.221505376344086,0.035146443514644354,12,38.75,214,84,24,3,10,1,0,2,0,0.9281,0.899621212121212,-0.4727272727272727,74.17084677419358,16.876344086021504,2,0,14,1
196,68,562,2.86734693877551,0.3469387755102041,0.06405693950177936,7,28.0,91,29,11,3,8,0,0,2,0,0.6478,0.7534722222222222,-0.0625,82.16091836734697,12.220408163265306,0,0,4,3
